 Decimal

      85
      85
      86
      88
      91
      94
      97
     101
     105
     108
     112
     115
     118
     121
     123
     124
     125
     124
     123
     121
     119
     116
     112
     109
     105
     102
      98
      95
      92
      89
      87
      85
      85
      84
      84
      85
      86
      87
      88
      90
      91
      93
      96
      98
     101
     103
     106
     109
     113
     116
     121
     126
     133
     139
     146
     153
     160
     166
     172
     177
     181
     185
     186
     187
       0
